hgnc_symbol,refseq_mrna
SPIN3,NM_001010862
FUNDC2,NM_023934
ZNF701,NM_018260
ZNF701,NM_001172655
E2F1,NM_005225
ZNF841,NM_001352299
ZNF841,NM_001369828
ZNF841,NM_001369825
ZNF841,NM_001369830
ZNF841,NM_001321349
ZNF841,NM_001369829
ZNF841,NM_001352298
ZNF841,NM_001369827
ZNF841,NM_001136499
ZNF841,NM_001369826
IL1RN,NM_001318914
IL1RN,NM_173843
IL1RN,NM_001379360
IL1RN,NM_173841
IL1RN,NM_000577
IL1RN,NM_173842
ABCD1,NM_000033
AFF1,NM_001166693
AFF1,NM_001313959
AFF1,NM_001313960
AFF1,NM_005935
EPM2AIP1,NM_014805
C5orf24,NM_152409
C5orf24,NM_001135586
C5orf24,NM_001300894
CREB3,NM_006368
ASXL1,NM_015338
ASXL1,NM_001164603
ASXL1,NM_001363734
MMP24OS,NM_001355004
MMP24OS,NM_001355003
PHF1,NM_002636
PHF1,NM_024165
OSER1,NM_016470
SERPINB3,NM_006919
TIGD7,NM_033208
CCND2,NM_001759
ABL2,NM_007314
ABL2,NM_001136000
ABL2,NM_005158
ABL2,NM_001168239
ABL2,NM_001168236
ABL2,NM_001168238
ABL2,NM_001168237
ABL2,NM_001136001
DAP,NM_004394
DAP,NM_001291963
MRPL33,NM_145330
MRPL33,NM_004891
RANBP9,NM_005493
SPECC1,NM_001386082
SPECC1,NM_001386085
SPECC1,NM_001386078
SPECC1,NM_001386081
SPECC1,NM_001386084
SPECC1,NM_001243439
SPECC1,NM_001386083
SPECC1,NM_001386079
SPECC1,NM_152904
SPECC1,NM_001033553
SPECC1,NM_001386080
SPECC1,NM_001033555
SPECC1,NM_001386077
SPECC1,NM_001243438
SPECC1,NM_001033554
FBXL5,NM_001193534
FBXL5,NM_012161
FBXL5,NM_001193535
NR1D2,NM_005126
NR1D2,NM_001145425
CYTH2,NM_004228
CYTH2,NM_017457
IL17RC,NM_001203264
IL17RC,NM_032732
IL17RC,NM_001367280
IL17RC,NM_001367279
IL17RC,NM_153461
